Branches, v4.0;;;;;;;;;;;;;;;;;;;;
Index;Qty;Description;Specs;Value;Package;Ref. Mouser;References;;;;;;;;;;;;;
SMT parts;;;;;;;;;;;;;;;;;;;;
R11, R19;2;Resistor, 1%;;220;0603;667-ERJ-3EKF2200V;;;;;;;;;;;;;;
R12, R13, R16, R17;4;Resistor, 1%;;1k;0603;667-ERJ-3EKF1001V;;;;;;;;;;;;;;
R1, R2, R14;3;Resistor, 1%;;10k;0603;667-ERJ-3EKF1002V;;;;;;;;;;;;;;
R3, R4, R5, R7, R8, R9, R10, R18;8;Resistor, 1%;;100k;0603;667-ERJ-3EKF1003V;;;;;;;;;;;;;;
C2, C5;2;Capacitor, ceramic;;1n;0603;81-GRM1885C1H102FA1J;;;;;;;;;;;;;;
C1, C4, C6, C7, C8;5;Capacitor, ceramic;>= 16V;100n;0603;81-GRM188R61C104KA1D;;;;;;;;;;;;;;
C3, C9;2;Capacitor, electrolytic;>= 25V;22u;Panasonic C;667-EEE-FP1E220AR;EEE-FP1E220AR;;;;;;;;;;;;;
L1;1;Ferrite bead;Z@100M > 200;;0603;710-742792642;WE 742792642;;;;;;;;;;;;;
IC4;1;ATMega88p;;;TQFP32;556-ATMEGA88PA-AU;ATMEGA88PA-AU;;;;;;;;;;;;;
IC1;1;LM4040 Shunt Vref;A, B or C grade;5.0V;SOT23;595-LM4040C50IDBZR;Texas Instruments LM4040C50IDBZ;;;;;;;;;;;;;
IC3;1;MCP6002 dual op-amp R2R IO;;;SOIC8;579-MCP6002-I/SN;MCP6002-I/SN;;;;;;;;;;;;;
IC2;1;LM1117-5.0V LDO Vreg;;5.0V;SO223;926-LM1117MPX5.0NOPB;National LM1117MPX-5.0/NOPB;;;;;;;;;;;;;
D1;1;1N5819HW diode;;;SOD123;621-1N5819HW-F;Diodes Inc 1N5819HW-7-F;;;;;;;;;;;;;
Q1, Q2;2;NPN transistor MMBT3904;;;SOT23;863-MMBT3904LT1G;On Semi MMBT3904LT1G;;;;;;;;;;;;;
PTH parts, top side;;;;;;;;;;;;;;;;;;;;
LED1, LED2;2;LED, Red/Green, 2 terminals;;;2 terminals;604-WP937EGW;Kingbright WP937EGW;;;;;;;;;;;;;
- LED1, LED2;2;LED holder;Ã˜ 3mm, 10mm high;;;;"LED3-10 Multicomp; Farnell P/N 9555277";;;;;;;;;;;;;
SW1, SW2;2;Switch, 6mm;;;;612-TL1105SP-250;E-switch TL1105SPF250Q;;;;;;;;;;;;;
- SW1, SW2;2;Cap for switch, black;;;;612-1R-BK;E-switch 1RBLK;;;;;;;;;;;;;
R6, R15;2;10k linear pot, 15mm shaft;;;;;https://www.thonk.co.uk/shop/alpha-9mm-pots/;;;;;;;;;;;;;
J1, J2, J3, J4, J5, J6, J7, J8;8;Vertical jack connector;;;;;PJ-301-M-12;;;;;;;;;;;;;
PTH parts, bottom side;;;;;;;;;;;;;;;;;;;;
J10;1;2x5, 2.54mm pitch male header;;;;649-67996-410HLF;;;;;;;;;;;;;;
J9;1;2x3, 2.54mm pitch male header;;;;649-67996-406HLF;;;;;;;;;;;;;;
PCB specifications;;;;;;;;;;;;;;;;;;;;
PCB;;"106.3 x 29.2 ; 2 layers";;;;;;;;;;;;;;;;;;