Peaks v3.1;;;;;;;;;;;;;;;;;;;;
Index;Qty;Description;Specs;Value;Package;Ref. Mouser;References;;;;;;;;;;;;;
SMT parts;;;;;;;;;;;;;;;;;;;;
R10, R23;2;Resistor, 1%;;33;0603;652-CR0603FX-33R0ELF;;;;;;;;;;;;;;
R2, R4, R6, R7, R8;5;Resistor, 1%;;100;0603;652-CR0603FX-1000ELF;;;;;;;;;;;;;;
R20, R31;2;Resistor, 1%;;1.0k;0603;652-CR0603FX-1001ELF;;;;;;;;;;;;;;
R9, R25;2;Resistor, 1%;;3.3k;0603;652-CR0603-FX3301ELF;;;;;;;;;;;;;;
R3, R13, R16, R28;4;Resistor, 1%;;10k;0603;652-CR0603FX-1002GLF;;;;;;;;;;;;;;
R12, R14, R17, R22, R24, R26;6;Resistor, 1%;;39k;0603;652-CR0603FX-3902ELF;;;;;;;;;;;;;;
R15, R27;2;Resistor, 1%;;100k;0603;652-CR0603FX-1003GLF;;;;;;;;;;;;;;
R18, R29;2;Resistor, 1%;;249k;0603;652-CR0603FX-2493ELF;;;;;;;;;;;;;;
R19, R30;2;Resistor, 1%;;309k;0603;667-ERJ-3EKF3093V;;;;;;;;;;;;;;
C6, C7, C17, C23;4;Capacitor, ceramic;;18p;0603;81-GRM185C1H180JA01J;;;;;;;;;;;;;;
C14, C15, C19, C20;4;Capacitor, ceramic;>= 16V, <= 2%, C0G;220p;0603;81-GRM185C1H221GA01D;;;;;;;;;;;;;;
C3, C5, C8, C9, C10, C12, C16, C18, C21, C24;10;Capacitor, ceramic;>= 16V;100n;0603;81-GRM188R71E104JA1J;;;;;;;;;;;;;;
C11, C22;2;Capacitor, ceramic;>= 16V;470n;0603;81-GRM18F51C474ZA01J;;;;;;;;;;;;;;
C13;1;Capacitor, ceramic;>= 6.3V;3.3u;0603;81-GRM188R61A335KE5D;;;;;;;;;;;;;;
C1, C2, C4;3;Capacitor, electrolytic;>= 25V;22u;Panasonic C;667-EEE-FP1E220AR;EEE-FP1E220AR;;;;;;;;;;;;;
L1;1;EMI Filter Bead;>= 2200 ohm;;0603;710-742792693;Wurth Electronics 742792693;;;;;;;;;;;;;
D1, D2;2;1N5819HW diode;;;SOD123;621-1N5819HW-F;Diodes Inc 1N5819HW-7-F;;;;;;;;;;;;;
IC1;1;LM1117-3.3V LDO Vreg;;3.3V;SO223;926-LM1117MPX3.3NOPB;National LM1117MPX3.3NOPB;;;;;;;;;;;;;
IC2;1;LM4040 Shunt Vref;A, B or C grade;2.5V;SOT23;595-LM4040C25IDBZR;Texas Instruments LM4040C25IDBZ;;;;;;;;;;;;;
IC6;1;LM4040 Shunt Vref;A, B or C grade;10V;SOT23;595-LM4040C10IDBZR;Texas Instruments LM4040C10IDBZ;;;;;;;;;;;;;
IC3;1;DAC8552 dual 16-bit DAC;;;MSOP8;595-DAC8552IDGKT;Texas Instruments DAC8552IDGKT;;;;;;;;;;;;;
IC4, IC5;2;OPA2171 dual op-amp;;;SOIC8;595-OPA2171AID;TI OPA2171AID;;;;;;;;;;;;;
Q2, Q3;2;NPN transistor MMBT3904;;;SOT23;863-MMBT3904LT1G;On Semi MMBT3904LT1G;;;;;;;;;;;;;
Q1;1;8 MHz quartz;;;HC49;815-ABLS2-8-D4Y-T;Abracon ABLS2-8.000MHZ-D4Y-T;;;;;;;;;;;;;
SW3, SW5;2;Switch, 6mm, SMT;;;6mm x 6mm;667-EVQ-Q2K01W;Panasonic EVQ-Q2K01W;;;;;;;;;;;;;
UC1;1;STM32F103CBT6 MCU;;;LQFP48;511-STM32F103CBT6;ST STM32F103CBT6;;;;;;;;;;;;;
PTH parts, top side;;;;;;;;;;;;;;;;;;;;
J1, J2, J3, J4;4;Vertical jack connector;;;;;PJ-301-M-12;;;;;;;;;;;;;
LED1, LED2, LED3, LED4, LED5;5;LED 3mm, green, round;;;;604-WP710A10GD;Kingbright WP710A10GD ou L-710A10GD;;;;;;;;;;;;;
- LED1, LED2, LED3, LED4, LED5;5;LED holder;10mm;;;;"LED3-10 Multicomp; Farnell P/N 9555277";;;;;;;;;;;;;
R1, R5, R11, R21;4;10k linear pot, 15mm shaft;;;;;https://www.thonk.co.uk/shop/alpha-9mm-pots/;;;;;;;;;;;;;
SW4, SW6;2;Switch, On-mom, Green LED;;;;;E-switch LP4OA1PBCTG;;;;;;;;;;;;;
SW1, SW2;2;Switch, 6mm;;;;612-TL1105SP-250;E-switch TL1105SPF250Q;;;;;;;;;;;;;
;2;Cap for switch, black;;;;612-1R-BK;E-switch 1RBLK;;;;;;;;;;;;;
PTH parts, bottom side;;;;;;;;;;;;;;;;;;;;
JP3;1;2x5 male header, 2.54mm pitch;;;;649-67996-410HLF;;;;;;;;;;;;;;
JP2;1;2x5, 1.27mm pitch male header;;;;649-221111-00010T4LF;;;;;;;;;;;;;;
JP1;1;1x6 male header, 2.54mm pitch;;;;649-68002-106HLF;;;;;;;;;;;;;;
PCB specifications;;;;;;;;;;;;;;;;;;;;
PCB;;"38.7 x 106.7 ; 2 layers";;;;;;;;;;;;;;;;;;