Rings, v3.0;;;;;;;;
Index;Qty;Description;Specs;Value;Package;Ref. Mouser;References;
SMT parts;;;;;;;;
R2;1;Resistor, 5%, 250mW;;4,7;1206;667-ERJ-8GEYJ4R7V;;
R1, R3, R4, R5;4;Resistor, 1%;;180;0603;667-ERJ-3EKF1800V;;
R55, R56;2;Resistor, 1%;;1.0k;0603;667-ERJ-3EKF1001V;;
R12, R16, R17;3;Resistor, 1%;;2.2k;0603;667-ERJ-3EKF2201V;;
R40, R43, R51;3;Resistor, 1%;;6.8k;0603;667-ERJ-3EKF6801V;;
R6, R7, R8;3;Resistor, 1%;;10k;0603;667-ERJ-3EKF1002V;;
R18, R25, R26, R31, R32;5;Resistor, 1%;;20k;0603;667-ERJ-3EKF2002V;;
R27, R54;2;Resistor, 1%;;36k;0603;667-ERJ-3EKF3602V;;
R13, R33, R38, R39, R41, R42, R44;7;Resistor, 1%;;47k;0603;667-ERJ-3EKF4702V;;
R11, R14, R19, R21, R22, R34, R35, R52;8;Resistor, 1%;;100k;0603;667-ERJ-3EKF1003V;;
R20, R23, R24, R36, R37;5;Resistor, 1%;;120k;0603;667-ERJ-3EKF1203V;;
R15;1;Resistor, 1%;;180k;0603;667-ERJ-3EKF1803V;;
R57;1;Resistor, 1%;;470k;0603;667-ERJ-3EKF4703V;;
R53;1;Resistor, 1%;;1.0M;0603;667-ERJ-3EKF1004V;;
R50;1;Resistor, <=5%;;3.3M;0603;667-ERJ-3GEYJ335V;;
C4, C5, C23, C24, C42, C43;6;Capacitor, ceramic;;18p;0603;81-GRM185C1H180JA01J;Murata GRM1885C1H180JA01J;
C49;1;Capacitor, ceramic;>= 16V, <= 2%;220p;0603;81-GRM185C1H221GA01D;Murata GRM185C1H221GA01D;
C14, C29;2;Capacitor, ceramic;>= 50V, <= 5%;2.2n;0603;81-GRM1885C1H222JA1J;Murata GRM1885C1H222JA01J;
C26, C28, C36, C38;4;Capacitor, ceramic;>= 50V, <= 5%;10n;0603;81-GRM18R71H103JA01D;Murata GRM188R71H103JA01D;
C6, C9, C10, C11, C13, C15, C17, C19, C20, C25, C27, C31, C35, C37, C39, C44, C45, C47, C48;19;Capacitor, ceramic;>= 16V;100n;0603;81-GRM188R71E104JA1J;Murata GRM188R71E104JA01J;
C7, C18, C30;3;Capacitor, ceramic;>= 10V;1u;0603;81-GRM18R61A105KA61J;Murata GRM18R61A105KA61J;
C16, C22;2;Capacitor, ceramic;>= 10V;2.2u;0805;810-C2012X5R1A225K-2;TDK C2012X5R1A225K085AA;
C12, C21, C32, C33, C34, C40, C41, C46;8;Capacitor, electrolytic;>= 16V;10u;Panasonic A;647-UWX1C100MCL2;Nichicon UWX1C100MCL2GB;
C1;1;Capacitor, electrolytic;>= 25V;22u;Panasonic C;667-EEE-FP1E220AR;EEE-FP1E220AR;
C2, C3, C8;3;Capacitor, electrolytic;>= 25V;47u;Panasonic D;667-EEE-FK1V470P;EEEFK1V470P;
D1, D2;2;1N5819HW diode;;;SOD123;621-1N5819HW-F;Diodes Inc 1N5819HW-7-F;
D3;1;BAT54S diode;;;SOT23;512-BAT54S;BAT54S;
IC1;1;LM1117-3.3V LDO Vreg;;3.3V;TO252;926-LM1117DT-3.3NOPB;National LM1117DT-3.3/NOPB;
IC2;1;STM32F405RGT6;;;TQFP64;511-STM32F405RGT6;ST STM32F405RGT6;
IC3;1;LM4040 Shunt Vref;A, B or C grade;10V;SOT23;595-LM4040C10IDBZR;Texas Instruments LM4040C10IDBZ;
IC4;1;CD4051 8-1 multiplexer;;;TSSOP16;595-CD4051BPWR;CD4051BPWR;
IC5;1;MCP6002 dual op-amp R2R IO;;;SOIC8;579-MCP6002-I/SN;MCP6002-I/SN;
IC6;1;WM8731 audio codec;;;SSOP28;238-WM8731SEDS/V;"Wolfson micro WM8731SEDS/V
";
IC7;1;MCP6004 quad op-amp R2R IO;;;SOIC14;579-MCP6004-I/SL;MCP6004-I/SL;
IC8;1;TL072 dual op-amp;;;SOIC8;595-TL072CD;;
Q1;1;8 MHz quartz;Capa 18pF;;HC49;815-ABLS2-8-D4Y-T;Abracon ABLS2-8.000MHZ-D4Y-T;
Q2;1;NPN transistor MMBT3904;;;SOT23;863-MMBT3904LT1G;On Semi MMBT3904LT1G;Fairchild MMBT3904
Q3;1;12.288 MHz quartz;Capa 18pF;;HC49;815-ABLS2-12.2-D4Y-T;Abracon ABLS2-12.288MHZ-D4Y-T;
L1, L2, L3;3;EMI Filter Bead;>= 1k ohm, 300mA;;0603;710-742792664;Wurth Electronics 742792664;
SW3, SW4;2;Switch, 6mm, SMT;;;6mm x 6mm;667-EVQ-Q2K01W;Panasonic EVQ-Q2K01W;
PTH parts, top side;;;;;;;;
J1, J2, J3, J4, J5, J6, J7, J8, J9, J10;10;Vertical jack connector;;;;;PJ-301-M-12;
R45, R46, R47, R48, R49;5;10k linear pot, 25mm shaft with marker;;;;;https://www.thonk.co.uk/shop/ttpots/;
R9, R10, R28, R29, R30;5;10k linear pot, 15mm shaft;;;;;https://www.thonk.co.uk/shop/alpha-9mm-pots/;
LED1, LED2;2;LED, Red/Green, 3 terminals, common K;;;3 terminals;604-WP115VEGW;;
SW1, SW2;2;Switch, 6mm;;;;612-TL1105SP-250;;
SW1, SW2;2;Cap for switch;;;;612-1R-BK;;
PTH parts, bottom side;;;;;;;;
JP1 / JTAG;1;2x5 male header, 1.27mm pitch;;;;649-221111-00010T4LF;;
JP3;1;2x5 male header, 2.54mm pitch;;;;649-67996-410HLF;;
JP2 / FTDI;1;1x6 male header, 2.54mm pitch;;;;649-68002-106HLF;;
PCB Specifications;;;;;;;;
PCB;;106.7 x 69.2;;;;;;